STATE,YEAR,POPULATION
Alaska,1950," 135,000 "
Alabama,1950," 3,058,000 "
Arkansas,1950," 1,908,000 "
Arizona,1950," 756,000 "
California,1950," 10,677,000 "
Colorado,1950," 1,325,000 "
Connecticut,1950," 2,016,000 "
Delaware,1950," 321,000 "
Florida,1950," 2,810,000 "
Georgia,1950," 3,458,000 "
Hawaii,1950," 498,000 "
Idaho,1950," 590,000 "
Illinois,1950," 8,738,000 "
Indiana,1950," 3,967,000 "
Iowa,1950," 2,625,000 "
Kansas,1950," 1,916,000 "
Kentucky,1950," 2,936,000 "
Louisiana,1950," 2,697,000 "
Maine,1950," 917,000 "
Maryland,1950," 2,355,000 "
Massachusetts,1950," 4,686,000 "
Michigan,1950," 6,407,000 "
Minnesota,1950," 2,997,000 "
Mississippi,1950," 2,176,000 "
Missouri,1950," 3,964,000 "
Montana,1950," 593,000 "
Nebraska,1950," 1,327,000 "
Nevada,1950," 162,000 "
New Hampshire,1950," 162,000 "
New Jersey,1950," 4,872,000 "
New Mexico,1950," 4,872,000 "
New York,1950," 14,865,000 "
North Carolina,1950," 4,068,000 "
North Dakota,1950," 619,000 "
Ohio,1950," 7,980,000 "
Oklahoma,1950," 2,229,000 "
Oregon,1950," 1,532,000 "
Pennsylvania,1950," 10,507,000 "
Rhode Island,1950," 786,000 "
South Carolina,1950," 2,113,000 "
South Dakota,1950," 655,000 "
Tennessee,1950," 3,315,000 "
Texas,1950," 7,776,000 "
District of Columbia,1950," 806,000 "
Utah,1950," 696,000 "
Vermont,1950," 379,000 "
Virginia,1950," 3,315,000 "
Washington,1950," 2,387,000 "
West Virginia,1950," 2,006,000 "
Wisconsin,1950," 3,438,000 "
Wyoming,1950," 290,000 "
Alaska,1951," 158,000 "
Alabama,1951," 3,059,000 "
Arkansas,1951," 1,901,000 "
Arizona,1951," 785,000 "
California,1951," 11,134,000 "
Colorado,1951," 1,326,000 "
Connecticut,1951," 2,028,000 "
Delaware,1951," 331,000 "
Florida,1951," 2,980,000 "
Georgia,1951," 3,531,000 "
Hawaii,1951," 514,000 "
Idaho,1951," 589,000 "
Illinois,1951," 8,790,000 "
Indiana,1951," 4,096,000 "
Iowa,1951," 2,617,000 "
Kansas,1951," 1,950,000 "
Kentucky,1951," 2,941,000 "
Louisiana,1951," 2,769,000 "
Maine,1951," 916,000 "
Maryland,1951," 2,441,000 "
Massachusetts,1951," 4,654,000 "
Michigan,1951," 6,497,000 "
